imu_pos_x, imu_pos_y, imu_pos_z, imu_rot_x, imu_rot_y, imu_rot_z,lh_pos_x, lh_pos_y, lh_pos_z, lh_rot_x, lh_rot_y, lh_rot_z,rh_pos_x, rh_pos_y, rh_pos_z, rh_rot_x, rh_rot_y, rh_rot_z,lh_thumb_x, lh_thumb_y, lh_thumb_z,lh_index_x, lh_index_y, lh_index_z,lh_middle_x, lh_middle_y, lh_middle_z,lh_ring_x, lh_ring_y, lh_ring_z,lh_little_x, lh_little_y, lh_little_z,rh_thumb_x, rh_thumb_y, rh_thumb_z,rh_index_x, rh_index_y, rh_index_z,rh_middle_x, rh_middle_y, rh_middle_z,rh_ring_x, rh_ring_y, rh_ring_z,rh_little_x, rh_little_y, rh_little_z,lh_thumb_knuckle_x, lh_thumb_knuckle_y, lh_thumb_knuckle_z,lh_index_knuckle_x, lh_index_knuckle_y, lh_index_knuckle_z,lh_middle_knuckle_x, lh_middle_knuckle_y, lh_middle_knuckle_z,lh_ring_knuckle_x, lh_ring_knuckle_y, lh_ring_knuckle_z,lh_little_knuckle_x, lh_little_knuckle_y, lh_little_knuckle_z,rh_thumb_knuckle_x, rh_thumb_knuckle_y, rh_thumb_knuckle_z,rh_index_knuckle_x, rh_index_knuckle_y, rh_index_knuckle_z,rh_middle_knuckle_x, rh_middle_knuckle_y, rh_middle_knuckle_z,rh_ring_knuckle_x, rh_ring_knuckle_y, rh_ring_knuckle_z,rh_little_knuckle_x, rh_little_knuckle_y, rh_little_knuckle_z,rh_thumb_curl, rh_index_curl, rh_middle_curl, rh_ring_curl, rh_little_curl,lh_thumb_curl, lh_index_curl, lh_middle_curl, lh_ring_curl, lh_little_curl
-1.8787579536438, 1.31425356864929, 0.0293120443821, -1.0861839056015, 0.11877578496933, 0.3003371655941, -1.56702280044556, 1.02447724342346, 0.02827429771423, 0.34214821457863, 1.05391824245453, -2.56833028793335, -2.10630893707275, 0.73156702518463, -0.04186317324638, 1.07922697067261, 0.01649155654013, 2.77729558944702, -1.57631266117096, 0.96307808160782, 0.15293198823929, -1.46653032302856, 0.93014371395111, 0.14594753086567, -1.44507324695587, 0.91909867525101, 0.12928539514542, -1.44526672363281, 0.9105566740036, 0.09716881811619, -1.46001315116882, 0.91396504640579, 0.06773985922337, -2.05569696426392, 0.66228801012039, -0.15156520903111, -2.14851069450378, 0.69013845920563, -0.2131735086441, -2.16790962219238, 0.71083182096481, -0.22062265872955, -2.17073488235474, 0.74221009016037, -0.2100443392992, -2.16337251663208, 0.76419758796692, -0.18643340468407, -1.57097923755646, 0.9821509718895, 0.09825798869133, -1.49805450439453, 0.95517563819885, 0.12275814265013, -1.48162496089935, 0.94746595621109, 0.10514198988676, -1.48031401634216, 0.9423451423645, 0.07853253930807, -1.48957872390747, 0.94104760885239, 0.0547418743372, -2.07654809951782, 0.69710618257523, -0.10991917550564, -2.13135623931885, 0.69431179761887, -0.17020337283611, -2.1473183631897, 0.71376401185989, -0.17275792360306, -2.1516547203064, 0.73871719837189, -0.16303499042988, -2.14687490463257, 0.75884586572647, -0.14801818132401, 1.39216458823832, 7.54300990991008, 2.79341524906346, 124.126530428259, 113.804311422429, 3.07438041665722, 34.7175305322838, 48.9225754774828, 56.0311699882545, 46.3707689922419
-1.8789290189743, 1.31352305412292, 0.02996516227722, -1.08766174316406, 0.1204380095005, 0.30035811662674, -1.56606733798981, 1.02398669719696, 0.02853643894196, 0.34083619713783, 1.05505084991455, -2.57063555717468, -2.10652446746826, 0.7316307425499, -0.04185947775841, 1.07992684841156, 0.01852351240814, 2.77858090400696, -1.57496392726898, 0.96255588531494, 0.15320724248886, -1.4651118516922, 0.92990058660507, 0.14601138234138, -1.44365870952606, 0.9189110994339, 0.12930762767792, -1.44389164447784, 0.91037082672119, 0.09719085693359, -1.45870268344879, 0.9137436747551, 0.06779028475285, -2.05606031417847, 0.66238099336624, -0.1516480743885, -2.14890956878662, 0.69033396244049, -0.2131564617157, -2.16830039024353, 0.71104550361633, -0.22057589888573, -2.17109394073486, 0.74241948127747, -0.20997640490532, -2.16369462013245, 0.76438772678375, -0.18635906279087, -1.56978309154511, 0.98164588212967, 0.09852453321218, -1.49674355983734, 0.95485401153564, 0.12288384884596, -1.48032820224762, 0.94718718528748, 0.10523588955402, -1.47905492782593, 0.94207149744034, 0.07862362265587, -1.48836159706116, 0.94075202941895, 0.05485054850578, -2.07684922218323, 0.69718927145004, -0.109962657094, -2.13171362876892, 0.69446957111359, -0.17019924521446, -2.14766407012939, 0.71393460035324, -0.17272792756557, -2.15197396278381, 0.73888516426086, -0.16298627853394, -2.14716625213623, 0.75900143384933, -0.14796185493469, 1.38096926785843, 7.56391455763855, 2.75013767637838, 124.135382353423, 113.897885014058, 2.81040278330293, 35.0552970471193, 49.9399799656804, 56.8031794399518, 46.5707057047211
-1.8790271282196, 1.31286799907684, 0.030662804842, -1.08865880966187, 0.12249273061752, 0.29988366365433, -1.56515979766846, 1.02352118492126, 0.02878212928772, 0.3395437002182, 1.05607509613037, -2.57285094261169, -2.106764793396, 0.73151952028275, -0.04184725880623, 1.08034777641296, 0.02024110034108, 2.77978563308716, -1.57368576526642, 0.96205711364746, 0.15346240997314, -1.4637668132782, 0.92967212200165, 0.14606964588165, -1.44231617450714, 0.91873693466187, 0.12932702898979, -1.4425847530365, 0.91019904613495, 0.09720988571644, -1.45745587348938, 0.91353833675385, 0.06783580780029, -2.05640244483948, 0.66230940818787, -0.15170761942863, -2.14927983283997, 0.69033688306808, -0.21313945949078, -2.16866660118103, 0.71106094121933, -0.22053460776806, -2.17143964767456, 0.74243021011353, -0.2099157422781, -2.16401529312134, 0.7643820643425, -0.18629097938538, -1.56864821910858, 0.98116487264633, 0.09877251833677, -1.49550032615662, 0.95455002784729, 0.12300038337708, -1.47909724712372, 0.94692516326904, 0.1053227558732, -1.47785842418671, 0.94181507825851, 0.07870779186487, -1.48720371723175, 0.94047498703003, 0.054951030761, -2.07714891433716, 0.69710332155228, -0.1099891141057, -2.13205409049988, 0.69444102048874, -0.1701912432909, -2.14799761772156, 0.71391439437866, -0.17269857227802, -2.15229034423828, 0.73886132240295, -0.1629401743412, -2.14746427536011, 0.75896716117859, -0.14790762960911, 1.36281996112983, 7.59618037127769, 2.69290474655849, 124.133538202348, 113.997838002372, 2.4275446402275, 35.4658016615208, 50.9934751734523, 57.5834329299774, 46.8650492919082
-1.87915766239166, 1.31236028671265, 0.03129664063454, -1.08985197544098, 0.12472457438707, 0.29858896136284, -1.56425380706787, 1.02305603027344, 0.02902612090111, 0.33814865350723, 1.05710530281067, -2.57519626617432, -2.10727715492249, 0.73099994659424, -0.04180380702019, 1.0806964635849, 0.02215279638767, 2.78120875358582, -1.57239353656769, 0.96155434846878, 0.15371368825436, -1.46240389347076, 0.9294576048851, 0.14611786603928, -1.44095504283905, 0.91858047246933, 0.12933504581451, -1.44125950336456, 0.91004592180252, 0.09721733629704, -1.45619249343872, 0.91334998607635, 0.06787064671516, -2.05701208114624, 0.66184437274933, -0.15174302458763, -2.1499195098877, 0.68994623422623, -0.21309535205364, -2.16930365562439, 0.71068221330643, -0.22046402096748, -2.17205834388733, 0.74204540252686, -0.20982258021832, -2.16461062431335, 0.76397895812988, -0.18618814647198, -1.5675048828125, 0.98068201541901, 0.09901724010706, -1.49424397945404, 0.95425534248352, 0.12310926616192, -1.47785317897797, 0.94667553901672, 0.10540100932121, -1.4766491651535, 0.94157207012177, 0.07878318428993, -1.48603391647339, 0.94021052122116, 0.05504319816828, -2.07771849632263, 0.69661819934845, -0.10998786985874, -2.1326642036438, 0.69401568174362, -0.17015570402145, -2.14860224723816, 0.7134964466095, -0.17263969779015, -2.15287947654724, 0.73843848705292, -0.16286194324493, -2.14803624153137, 0.75853258371353, -0.14781926572323, 1.3379529499091, 7.6393975394773, 2.62221335586591, 124.121298503355, 114.105666198799, 1.91689344433772, 35.9769661888154, 52.079840666605, 58.3871822707478, 47.2101138638718
-1.87931346893311, 1.31189370155334, 0.0317502617836, -1.09043216705322, 0.12648625671864, 0.29704809188843, -1.563929438591, 1.02285885810852, 0.02921172976494, 0.33759728074074, 1.05888283252716, -2.57672452926636, -2.10737490653992, 0.73117691278458, -0.04165425896645, 1.08203232288361, 0.02191287279129, 2.77999234199524, -1.57169032096863, 0.9613733291626, 0.15393142402172, -1.46166956424713, 0.92944276332855, 0.14609161019325, -1.44024252891541, 0.91859459877014, 0.12926226854324, -1.44060730934143, 0.91005229949951, 0.0971472710371, -1.45561218261719, 0.91332685947418, 0.06783401966095, -2.057293176651, 0.66188889741898, -0.15159367024899, -2.15021443367004, 0.69007682800293, -0.2128854393959, -2.1695773601532, 0.71083402633667, -0.22025045752525, -2.17228150367737, 0.74220716953278, -0.20962557196617, -2.16478514671326, 0.76414501667023, -0.18601053953171, -1.56695592403412, 0.98049592971802, 0.09921964257956, -1.49360001087189, 0.95418667793274, 0.1231502071023, -1.47723805904388, 0.9466278553009, 0.10540625452995, -1.47608697414398, 0.94152009487152, 0.07878689467907, -1.4855238199234, 0.9401388168335, 0.0550687238574, -2.07791876792908, 0.69671511650085, -0.10984221845865, -2.13291788101196, 0.69414919614792, -0.16996265947819, -2.14883232116699, 0.71364957094193, -0.17244507372379, -2.15306830406189, 0.73860311508179, -0.16267877817154, -2.14818596839905, 0.75869977474213, -0.14765223860741, 1.28036570402602, 8.46674176873553, 2.22885422382842, 124.09763872807, 114.199690582914, 1.93071070358525, 36.0835991021376, 52.6944688994469, 58.5699854536941, 47.3164120979247
-1.87951874732971, 1.3114618062973, 0.03215846419334, -1.09065449237823, 0.1274366825819, 0.29644736647606, -1.56364250183105, 1.02268266677856, 0.02938580513, 0.33703097701073, 1.06072449684143, -2.57829570770264, -2.10749912261963, 0.73131000995636, -0.04143962264061, 1.08432638645172, 0.02150060981512, 2.7778947353363, -1.57101225852966, 0.9612141251564, 0.15413758158684, -1.4609602689743, 0.92945450544357, 0.14604523777962, -1.43955600261688, 0.91863602399826, 0.1291678249836, -1.43998324871063, 0.91008567810059, 0.09705574065447, -1.45506250858307, 0.91332983970642, 0.06777726113796, -2.0577335357666, 0.6617950797081, -0.15137931704521, -2.15067887306213, 0.69013094902039, -0.21256636083126, -2.17000508308411, 0.71092444658279, -0.21992494165897, -2.17262268066406, 0.74231469631195, -0.20932865142822, -2.16504240036011, 0.76425975561142, -0.18574713170528, -1.56643712520599, 0.98033136129379, 0.09941038489342, -1.49298357963562, 0.95414286851883, 0.12317365407944, -1.47665178775787, 0.9466056227684, 0.1053928360343, -1.47555565834045, 0.94149345159531, 0.07877200841904, -1.48504626750946, 0.94009184837341, 0.05507650598884, -2.0782196521759, 0.69671106338501, -0.10963425785303, -2.1333110332489, 0.69420826435089, -0.16967277228832, -2.1491847038269, 0.71374213695526, -0.17215242981911, -2.15335011482239, 0.73871529102325, -0.16240584850311, -2.14840030670166, 0.75881630182266, -0.14740714430809, 1.21317980120325, 9.3056717063734, 1.55040214206094, 124.064116159624, 114.292540174491, 1.94202299095467, 36.1973627329534, 53.4199340270452, 58.8354885671108, 47.4448538052668
-1.87971663475037, 1.31104969978333, 0.03257948160172, -1.09033346176147, 0.12809902429581, 0.29675808548927, -1.56314265727997, 1.02249443531036, 0.02952980995178, 0.33466732501984, 1.06106245517731, -2.5827100276947, -2.10760378837585, 0.73146218061447, -0.04118874669075, 1.08702147006989, 0.01906249858439, 2.77417159080505, -1.5699942111969, 0.9609882235527, 0.15429255366325, -1.45980596542358, 0.92975640296936, 0.14600190520287, -1.43838047981262, 0.91904109716415, 0.12908577919006, -1.43882429599762, 0.91048955917358, 0.09697422385216, -1.45397138595581, 0.91366213560104, 0.06772293895483, -2.05811738967896, 0.66161847114563, -0.15104614198208, -2.15103960037231, 0.6900919675827, -0.21220454573631, -2.17031669616699, 0.71092367172241, -0.21958388388157, -2.17284178733826, 0.74233961105347, -0.20904161036015, -2.16518306732178, 0.76430660486221, -0.18550592660904, -1.56560885906219, 0.98012852668762, 0.09955787658691, -1.49198818206787, 0.95429164171219, 0.12318857014179, -1.47565233707428, 0.94683319330215, 0.10537824779749, -1.47457945346832, 0.94172698259354, 0.07875533401966, -1.4841057062149, 0.94028049707413, 0.05507683381438, -2.07847499847412, 0.69666349887848, -0.10934623330832, -2.13362431526184, 0.69419980049133, -0.16933314502239, -2.14944815635681, 0.71377140283585, -0.1718342602253, -2.15353870391846, 0.73877292871475, -0.16212889552116, -2.14852261543274, 0.75888752937317, -0.14717045426369, 1.16161368723865, 10.2000704640346, 0.21072382233447, 124.08085012309, 114.369270519627, 1.97627425520817, 36.2277673200437, 53.5798424158936, 58.9638483121828, 47.5914467403282
-1.87986814975739, 1.3106517791748, 0.03296786546707, -1.08995151519775, 0.13010786473751, 0.29571652412415, -1.56254434585571, 1.02226364612579, 0.02969259023666, 0.33178827166557, 1.06132912635803, -2.58802843093872, -2.10772323608398, 0.73155409097672, -0.04090687632561, 1.09006440639496, 0.01609469018877, 2.76980590820313, -1.56878924369812, 0.96071183681488, 0.15446469187737, -1.45843875408173, 0.93011921644211, 0.1459508985281, -1.43698561191559, 0.91952908039093, 0.12899112701416, -1.43744421005249, 0.91097688674927, 0.09687995165586, -1.45266807079315, 0.91406333446503, 0.06765931844711, -2.05854630470276, 0.66133391857147, -0.15066315233707, -2.15143752098084, 0.68995970487595, -0.2117972522974, -2.17065858840942, 0.71083390712738, -0.21920259296894, -2.1730797290802, 0.74227911233902, -0.20872338116169, -2.16533374786377, 0.76427179574966, -0.18524031341076, -1.56462454795837, 0.97988027334213, 0.09972260892391, -1.4908082485199, 0.95446890592575, 0.12320383638144, -1.47446525096893, 0.94710612297058, 0.10536027699709, -1.47341620922089, 0.94200778007507, 0.07873491942883, -1.48298144340515, 0.94050741195679, 0.05507548525929, -2.07876062393188, 0.69652652740479, -0.10901796072721, -2.13397121429443, 0.69410413503647, -0.16895014047623, -2.14973855018616, 0.71371799707413, -0.17147773504257, -2.15374517440796, 0.7387518286705, -0.16182069480419, -2.14865517616272, 0.75888228416443, -0.14690861105919, 1.10453838537821, 11.0593782710612, 1.03099144200404, 124.096559558181, 114.442831656988, 2.01167661978023, 36.2524243029474, 53.7939517709005, 59.1093723226391, 47.7794818481787
-1.87999188899994, 1.31037259101868, 0.03334310650826, -1.08997273445129, 0.13157656788826, 0.29437249898911, -1.56218922138214, 1.0221049785614, 0.02979648113251, 0.32997617125511, 1.06178569793701, -2.59157991409302, -2.10769844055176, 0.73165148496628, -0.04075309634209, 1.09201538562775, 0.01608731225133, 2.76888251304626, -1.56799817085266, 0.9605370759964, 0.15458169579506, -1.45754563808441, 0.93036532402039, 0.14589178562164, -1.43607950210571, 0.91985613107681, 0.12889802455902, -1.43655729293823, 0.91130036115646, 0.09678807854652, -1.45183992385864, 0.91432696580887, 0.06759184598923, -2.05874729156494, 0.66128569841385, -0.15051704645157, -2.15163230895996, 0.69006407260895, -0.21158884465694, -2.17081880569458, 0.7109722495079, -0.21898816525936, -2.17317032814026, 0.74242687225342, -0.20852141082287, -2.16536235809326, 0.76441520452499, -0.18505470454693, -1.56399488449097, 0.9797180891037, 0.09983198344707, -1.49004447460175, 0.95458996295929, 0.12319560348988, -1.47370219230652, 0.94728857278824, 0.10532613098621, -1.47267663478851, 0.94219267368317, 0.07869938015938, -1.48227417469025, 0.94065445661545, 0.05505546554923, -2.07885932922363, 0.69653660058975, -0.10887159407139, -2.1341233253479, 0.69419413805008, -0.16875784099102, -2.14985418319702, 0.7138375043869, -0.17128163576126, -2.15380430221558, 0.73888343572617, -0.16163283586502, -2.14866328239441, 0.75901079177856, -0.14673408865929, 1.06062741936931, 11.5457432352531, 1.84289368076593, 124.093390350406, 114.474223206413, 2.06231308096576, 36.2384360755272, 54.1835423460635, 59.3481967171578, 48.0806351339683
-1.88021886348724, 1.31016945838928, 0.03364226222038, -1.08992207050323, 0.13249535858631, 0.2930251955986, -1.56183016300201, 1.02195072174072, 0.02989628911018, 0.32825800776482, 1.06214904785156, -2.5949273109436, -2.10766267776489, 0.73167061805725, -0.04059967398643, 1.09369504451752, 0.01619221270084, 2.76822519302368, -1.56723690032959, 0.96036791801453, 0.1546922326088, -1.4566890001297, 0.93059396743774, 0.14584392309189, -1.43520975112915, 0.92016142606735, 0.1288195848465, -1.4357031583786, 0.91160255670547, 0.09671068191528, -1.45103859901428, 0.91457277536392, 0.06753645092249, -2.05890488624573, 0.66118687391281, -0.15037405490875, -2.15178394317627, 0.69010066986084, -0.21139144897461, -2.17094039916992, 0.71103847026825, -0.21878445148468, -2.17323207855225, 0.74250048398972, -0.20832645893097, -2.16537117958069, 0.76448339223862, -0.18487240374088, -1.5633819103241, 0.97956073284149, 0.09993602335453, -1.48930764198303, 0.95470029115677, 0.12319376319647, -1.47296500205994, 0.94745707511902, 0.10530097782612, -1.47195959091187, 0.94236367940903, 0.0786729902029, -1.4815856218338, 0.94078981876373, 0.05504301935434, -2.07892942428589, 0.69648504257202, -0.10872642695904, -2.13423824310303, 0.69421547651291, -0.1685738414526, -2.14993810653687, 0.71388429403305, -0.17109331488609, -2.15383982658386, 0.73894000053406, -0.16145004332066, -2.14865469932556, 0.75906360149384, -0.14656150341034, 1.01436889599834, 12.1529940100178, 2.68019867371156, 124.086683104641, 114.49679698162, 2.11611789615254, 36.2141069417037, 54.6879586464581, 59.6306591902837, 48.3914360619605
